Date,constant,Close,name
11/01/2013, 16:00:00,18.58,vijay
14/01/2013, 16:00:00,17.92,vijay
15/01/2013, 16:00:00,17.35,vijay
16/01/2013, 16:00:00,18.07,vijay
17/01/2013, 16:00:00,17.95,vijay
18/01/2013, 16:00:00,17.86,vijay
22/01/2013, 16:00:00,18.03,vijay
23/01/2013, 16:00:00,18.36,vijay
24/01/2013, 16:00:00,16.09,vijay
25/01/2013, 16:00:00,15.71,vijay
28/01/2013, 16:00:00,16.07,vijay
29/01/2013, 16:00:00,16.37,vijay
30/01/2013, 16:00:00,16.32,vijay
31/01/2013, 16:00:00,16.27,vijay
01/02/2013, 16:00:00,16.2,vijay
04/02/2013, 16:00:00,15.8,vijay
05/02/2013, 16:00:00,16.35,vijay
06/02/2013, 16:00:00,16.33,vijay
07/02/2013, 16:00:00,16.72,vijay
08/02/2013, 16:00:00,16.96,vijay
11/02/2013, 16:00:00,17.14,vijay
12/02/2013, 16:00:00,16.71,vijay
13/02/2013, 16:00:00,16.68,vijay
14/02/2013, 16:00:00,16.66,vijay
15/02/2013, 16:00:00,16.43,vijay
19/02/2013, 16:00:00,16.43,vijay
20/02/2013, 16:00:00,16.03,vijay
21/02/2013, 16:00:00,15.93,vijay
22/02/2013, 16:00:00,16.1,vijay
25/02/2013, 16:00:00,15.81,vijay
26/02/2013, 16:00:00,16.03,vijay
27/02/2013, 16:00:00,15.88,vijay
28/02/2013, 16:00:00,15.76,vijay
01/03/2013, 16:00:00,15.37,vijay
04/03/2013, 16:00:00,15,vijay
05/03/2013, 16:00:00,15.4,vijay
06/03/2013, 16:00:00,15.2,vijay
07/03/2013, 16:00:00,15.38,vijay
08/03/2013, 16:00:00,15.42,vijay
11/03/2013, 16:00:00,15.64,vijay
12/03/2013, 16:00:00,15.3,vijay
13/03/2013, 16:00:00,15.3,vijay
14/03/2013, 16:00:00,15.45,vijay
15/03/2013, 16:00:00,15.85,vijay
18/03/2013, 16:00:00,16.28,vijay
19/03/2013, 16:00:00,16.23,vijay
20/03/2013, 16:00:00,16.15,vijay
21/03/2013, 16:00:00,16.17,vijay
22/03/2013, 16:00:00,16.5,vijay
25/03/2013, 16:00:00,16.56,vijay
26/03/2013, 16:00:00,16.47,vijay
27/03/2013, 16:00:00,16.15,vijay
28/03/2013, 16:00:00,15.81,vijay
01/04/2013, 16:00:00,15.32,vijay
02/04/2013, 16:00:00,15.35,vijay
03/04/2013, 16:00:00,15.43,vijay
04/04/2013, 16:00:00,15.28,vijay
05/04/2013, 16:00:00,15.11,vijay
08/04/2013, 16:00:00,15.22,vijay
09/04/2013, 16:00:00,15.25,vijay
10/04/2013, 16:00:00,15.56,vijay
11/04/2013, 16:00:00,15.51,vijay
12/04/2013, 16:00:00,15.35,vijay
15/04/2013, 16:00:00,14.99,vijay
16/04/2013, 16:00:00,15.22,vijay
17/04/2013, 16:00:00,14.39,vijay
18/04/2013, 16:00:00,14,vijay
19/04/2013, 16:00:00,13.95,vijay
22/04/2013, 16:00:00,14.24,vijay
23/04/2013, 16:00:00,14.5,vijay
24/04/2013, 16:00:00,14.48,vijay
25/04/2013, 16:00:00,14.59,vijay
26/04/2013, 16:00:00,14.9,vijay
29/04/2013, 16:00:00,15.36,vijay
30/04/2013, 16:00:00,15.81,vijay
01/05/2013, 16:00:00,15.69,vijay
02/05/2013, 16:00:00,15.91,vijay
03/05/2013, 16:00:00,16.07,vijay
06/05/2013, 16:00:00,16.45,vijay
07/05/2013, 16:00:00,16.38,vijay
08/05/2013, 16:00:00,16.57,vijay
09/05/2013, 16:00:00,16.31,vijay
10/05/2013, 16:00:00,16.18,vijay
13/05/2013, 16:00:00,16.24,vijay
14/05/2013, 16:00:00,15.85,vijay
15/05/2013, 16:00:00,15.32,vijay
16/05/2013, 16:00:00,15.52,vijay
17/05/2013, 16:00:00,15.47,vijay
20/05/2013, 16:00:00,15.82,vijay
21/05/2013, 16:00:00,15.7,vijay
22/05/2013, 16:00:00,15.76,vijay
23/05/2013, 16:00:00,15.79,vijay
24/05/2013, 16:00:00,15.9,vijay
28/05/2013, 16:00:00,15.77,vijay
29/05/2013, 16:00:00,15.89,vijay
30/05/2013, 16:00:00,16.13,vijay
31/05/2013, 16:00:00,16.06,vijay
03/06/2013, 16:00:00,16.1,vijay
04/06/2013, 16:00:00,16.05,vijay
05/06/2013, 16:00:00,15.9,vijay
06/06/2013, 16:00:00,15.66,vijay
07/06/2013, 16:00:00,15.78,vijay
10/06/2013, 16:00:00,15.67,vijay
11/06/2013, 16:00:00,15.63,vijay
12/06/2013, 16:00:00,15.44,vijay
13/06/2013, 16:00:00,15.57,vijay
14/06/2013, 16:00:00,15.36,vijay
17/06/2013, 16:00:00,15.43,vijay
18/06/2013, 16:00:00,15.42,vijay
19/06/2013, 16:00:00,15.11,vijay
20/06/2013, 16:00:00,14.89,vijay
21/06/2013, 16:00:00,14.77,vijay
24/06/2013, 16:00:00,14.38,vijay
25/06/2013, 16:00:00,14.38,vijay
26/06/2013, 16:00:00,14.22,vijay
27/06/2013, 16:00:00,14.06,vijay
28/06/2013, 16:00:00,14.16,vijay
01/07/2013, 16:00:00,14.62,vijay
02/07/2013, 16:00:00,14.95,vijay
03/07/2013, 16:00:00,15.03,vijay
05/07/2013, 16:00:00,14.91,vijay
08/07/2013, 16:00:00,14.82,vijay
